particle,sect,pdl,eff,eff_err,ko_eff,Q2lo,Q2hi
pip,4,40,0.9369,0.0240,1,1.750,5.250
pip,5,40,0.9251,0.0243,1,1.750,5.250
pip,6,40,0.9462,0.0251,0,1.750,5.250
pip,1,41,0.8647,0.0254,1,1.750,5.250
pip,2,41,0.7456,0.0248,1,1.750,5.250
pip,3,41,0.8670,0.0272,1,1.750,5.250
pip,4,41,0.9831,0.0291,1,1.750,5.250
pip,5,41,0.9405,0.0287,1,1.750,5.250
pip,6,41,1.0169,0.0307,1,1.750,5.250
pip,1,42,1.0330,0.0356,1,1.750,5.250
pip,2,42,0.9370,0.0346,1,1.750,5.250
pip,3,42,0.9670,0.0377,1,1.750,5.250
